,ID,OTAZKA,PEDAGOG,HODNOTA_CLOB_OCISTENO,LANG,token,lemma,pos,DetectSentiment,SENTIMENT
0,933,4,,"pravděpodobně odstranění připouštěcího testu ke zkoušce, test byl vyloženě fraška, kdy to přednášející hodinu rozdával, mezitím co to všichni navzájem opisovali i u katedry. Takovýto test tedy nahradit něčím seriózním",['cs'],"['probably' 'removing' 'the' 'pass' 'test' 'for' 'the' 'test' ',' 'the'
 'test' 'was' 'a' 'farce' ',' 'when' 'the' 'lecturer' 'gave' 'it' 'to'
 'each' 'other' 'for' 'an' 'hour' ',' 'while' 'everyone' 'copied' 'it'
 'to' 'each' 'other' 'in' 'the' 'department']","['remove' 'pass' 'test' 'test' ',' 'test' 'farce' ',' 'lecturer' 'give'
 'hour' ',' 'copy' 'department']","['ADV' 'VERB' 'DET' 'NOUN' 'NOUN' 'ADP' 'DET' 'NOUN' 'PUNCT' 'DET' 'NOUN'
 'AUX' 'DET' 'NOUN' 'PUNCT' 'ADV' 'DET' 'NOUN' 'VERB' 'PRON' 'ADP' 'DET'
 'ADJ' 'ADP' 'DET' 'NOUN' 'PUNCT' 'SCONJ' 'PRON' 'VERB' 'PRON' 'ADP' 'DET'
 'ADJ' 'ADP' 'DET' 'NOUN']",['positive'],Negative
1,940,3,,-nepovinná docházka s ústní zkouškou na konci,['cs'],"['-' 'an' 'optional' 'attendance' 'with' 'a' 'oral' 'exam' 'at' 'the'
 'end']",['-' 'optional' 'attendance' 'oral' 'exam' 'end'],['PUNCT' 'DET' 'ADJ' 'NOUN' 'ADP' 'DET' 'ADJ' 'NOUN' 'ADP' 'DET' 'NOUN'],['negative'],Positive
2,200,4,,"Minimální překrytí s agilním vývojem, byl to spíše tvrdý kurz reactu",['cs'],"['Minimum' 'overlap' 'with' 'agile' 'development' ',' 'it' 'was' 'rather'
 'a' 'hard' 'course' 'of' 'reaction']","['Minimum' 'overlap' 'agile' 'development' ',' 'hard' 'reaction']","['ADJ' 'NOUN' 'ADP' 'NOUN' 'NOUN' 'PUNCT' 'PRON' 'AUX' 'ADV' 'DET' 'ADJ'
 'NOUN' 'ADP' 'NOUN']",['negative'],Negative
3,206,3,,"Fajn pro lidi co chtějí umět jazyk react, hosté na přednáškách",['cs'],"['Good' 'for' 'people' 'who' 'want' 'to' 'learn' 'the' 'language' 'of'
 'Fact' ',' 'guests' 'at' 'lectures']","['Good' 'people' 'learn' 'language' 'Fact' ',' 'guest' 'lecture']","['ADJ' 'ADP' 'NOUN' 'PRON' 'VERB' 'PART' 'VERB' 'DET' 'NOUN' 'ADP' 'NOUN'
 'PUNCT' 'NOUN' 'ADP' 'NOUN']",['positive'],Positive
4,2344,4,,"lepší koncepce cvičení, občas mi přišlo, že se na cvičení dávají body podle toho, kdo připraví větší zábavu (i za cenu absentující osvěty problematiky)",['cs'],"['better' 'concept' 'of' 'exercise' ',' 'sometimes' 'I' 'thought' 'that'
 'the' 'exercises' 'were' 'based' 'on' 'who' 'prepares' 'more' 'fun' '('
 'even' 'at' 'the' 'cost' 'of' 'absent' 'education' 'issues' ')']","['concept' 'exercise' ',' 'think' 'exercise' 'base' 'prepare' 'fun' '('
 'cost' 'absent' 'education' 'issue' ')']","['ADJ' 'NOUN' 'ADP' 'NOUN' 'PUNCT' 'ADV' 'PRON' 'VERB' 'SCONJ' 'DET'
 'NOUN' 'AUX' 'VERB' 'ADP' 'PRON' 'VERB' 'ADJ' 'NOUN' 'PUNCT' 'ADV' 'ADP'
 'DET' 'NOUN' 'ADP' 'NOUN' 'NOUN' 'NOUN' 'PUNCT']",['positive'],Negative
5,2345,3,,přednášky externistů a odborníků-super,['cs'],['lectures' 'by' 'externalists' 'and' 'experts-super'],['lecture' 'externalist' 'experts-super'],['VERB' 'ADP' 'NOUN' 'CCONJ' 'NOUN'],['negative'],Positive
6,1588,4,,udělat místo přednášky praktické cvičení by mi pomohlo lépe se naučit aplikovat vědomosti,['cs'],"['doing' 'a' 'practical' 'exercise' 'instead' 'of' 'giving' 'a' 'lecture'
 'would' 'help' 'me' 'learn' 'to' 'apply' 'knowledge']",['practical' 'exercise' 'give' 'lecture' 'learn' 'apply' 'knowledge'],"['VERB' 'DET' 'ADJ' 'NOUN' 'ADV' 'SCONJ' 'VERB' 'DET' 'NOUN' 'AUX' 'VERB'
 'PRON' 'VERB' 'PART' 'VERB' 'NOUN']",['positive'],Negative
7,3576,4,,probrat ty makra,['pl'],['♪' 'To' 'discuss' 'the' 'macros' '♪'],['♪' 'discuss' 'macro' '♪'],['NOUN' 'PART' 'VERB' 'DET' 'NOUN' 'NOUN'],['positive'],Negative
8,3582,3,,naučíte se potřebné věci a je to i celkem zajímavé,['cs'],"['you' 'learn' 'the' 'necessary' 'things' 'and' ""it's"" 'quite'
 'interesting']",['learn' 'thing' 'interest'],['PRON' 'VERB' 'DET' 'ADJ' 'NOUN' 'CCONJ' 'VERB' 'ADV' 'ADJ'],['positive'],Positive
9,3608,4,,"bohužel velmi nepříjemnou pachuť ze cvičení zanechaly následující fakta:
- zmatené, mylné informace od cvičícího, neobjektivní hodnocení dílčích úkolů
- příslušnost cvičícího za minulého režimu ve VKR, důvěrník a spolupracovník (zejména v dobách po roce 1968, takže produktivní kádr) zdroj (stačí zadat jméno): https://www.abscr.cz/jmenne-evidence/",['cs'],"['Unfortunately' ',' 'the' 'very' 'unpleasant' 'taste' 'of' 'exercise'
 'left' 'the' 'following' 'facts' ':' '-' 'confused' ',' 'misinformation'
 'from' 'the' 'practicing' ',' 'biased' 'evaluation' 'of' 'partial'
 'tasks' '-' 'competence' 'of' 'the' 'practice']","[',' 'unpleasant' 'taste' 'exercise' 'leave' 'fact' ':' '-' 'confused' ','
 'misinformation' 'practice' ',' 'bias' 'evaluation' 'partial' 'task' '-'
 'competence' 'practice']","['ADV' 'PUNCT' 'DET' 'ADV' 'ADJ' 'NOUN' 'ADP' 'NOUN' 'VERB' 'DET' 'VERB'
 'NOUN' 'PUNCT' 'PUNCT' 'VERB' 'PUNCT' 'NOUN' 'ADP' 'DET' 'NOUN' 'PUNCT'
 'VERB' 'NOUN' 'ADP' 'ADJ' 'NOUN' 'PUNCT' 'NOUN' 'ADP' 'DET' 'NOUN']",['negative'],Negative
